Launch Date and Time (UTC),Launch Date Only (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Nation of Ownership,Official Payload Name,Manufacturer's Payload Name,Inclination degrees,COSPAR,Launch Designator ,SATCAT ID,SATCAT ID w/o success code or leading zeros,LV S/N,Site,Ref,International Designator,Decay Date,Orbital Period minutes,Apogee Altitude kilometers,Perigee Altitude kilometers,Radar Cross Section meters2
1961 Aug  6 0600,8/6/1961,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72K,S,CIS,Vostok-2,Vostok-3A No. 4,64.8,1961 TAU 1,1961 TAU,S00168,168,E103-17,NIIP-5   LC1,VSA074,1961-019A,8/7/1961,88.4,239,154,N/A
1961 Aug 16 0321:05,8/15/1961,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta,S,US,Explorer 12,NASA S-3,33.8,1961 UPS,1961 UPS,S00170,170,312/D6,CC       LC17A,TR-1022,1961-020A,9/30/1963,1594.6,76977,693,N/A
1961 Aug 17 1429,3/3/1959,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Blue Scout Jr,S,US,O-1,HETS,,1961-U01,1961-U01,A00113,113,O-1,CC       LC18A,OaklandTrib610817,1959-013A,,,,,N/A    SU0
1961 Aug 23 1004:10,8/23/1961,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas Agena B,S,US,Ranger 1,NASA P-32,32.9,1961 PHI 1,1961 PHI,S00173,173,111D (AA1),CC       LC12,CR-88008,1961-021A,8/30/1961,91.3,506,172,N/A
1961 Aug 25 1829:44,8/25/1961,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Scout X-1,S,US,Explorer 13,NASA S-55A,36.4,1961 CHI,1961 CHI,S00180,180,ST-6,WI       LA3,TN-D-2468,1961-022A,8/28/1961,96.4,810,365,N/A
1961 Aug 30 2000,8/30/1961,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,US,Discoverer 29,CORONA C'''-1,82.1,1961 PSI,1961 PSI,S00181,181,323/FTV 1112,V        75-3-4,VCR,1961-023A,9/10/1961,90.7,490,131,N/A
1961 Dec  4 0400:16,6/29/1961,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Blue Scout Jr,S,US,Blue Scout Jr. O-2,HETS,67,1961-U04,1961-U04,A00156,156,O-2,PA       LC-A,VCR,1961-015AS,9/25/1998,89.9,281,254,0.0803
1961 Dec 11 0939:02,,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72K,F,,[Kosmos-1],Zenit-2 No. 1,,1961-F14,1961-F14,F00182,182,E103-21,NIIP-5   LC1,NK96-10-65,1961-024A,,,,,
1961 Dec 12 2040:21,12/12/1961,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,US,Discoverer 36,CORONA C'''-5,81.2,1961 A KAP 1,1961 A KAP,S00213,213,325/FTV 1119,V        75-3-4,VCR,1961-034A,3/8/1962,88.5,207,194,N/A
1961 Dec 21 1230,,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 63S1,F,,[Kosmos-1],DS-1 No. 2,,1961-F15,1961-F15,F00185,185,2LK,GTsP-4   Mayak-2,AVMDS,1961-024B,,,,,
1961 Dec 22 1912:33,12/22/1961,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas Agena B,S,US,Samos 5,Samos E-5,89.7,1961 A LAM 2,1961 A LAM,S00218,218,114D,PA       LC1-2,VCR,1961-035B,12/31/1961,88.3,201,180,N/A
1961 Feb  4 0118:03,,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78,F,,Tyazholiy Sputnik,1VA No. 1,,1961 BET 1,1961 BET,S00071,71,L1-7V,NIIP-5   LC1,NK9701-29,1961-002A,,,,,
1961 Feb 12 0034:36,2/12/1961,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78,S,CIS,AMS Venera,1VA No. 2,,1961 GAM 1,1961 GAM,S00080,80,L1-6V,NIIP-5   LC1,NezavB,1961-003A,,,,,0.0039  SU0
1961 Feb 16 1305,2/16/1961,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Scout X-1,S,US,Explorer 9,NASA S-56A,38.8,1961 DEL 1,1961 DEL,S00081,81,ST-4,WI       LA3,NYT610217,1961-004A,4/9/1964,93,559,285,N/A
1961 Feb 17 2025:02,2/17/1961,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,US,Discoverer 20,ARGON 1,80.8,1961 EPS 1,1961 EPS,S00083,83,298/FTV 1104,V        75-3-4,VCR,1961-005A,7/28/1962,88.6,204,204,N/A
1961 Feb 18 2257:58,2/18/1961,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,US,Discoverer 21,CORONA RM-2,80.6,1961 ZET,1961 ZET,S00084,84,261/FTV 1102,V        75-3-5,VCR,1961-006A,4/20/1962,89.3,276,204,N/A
1961 Feb 22 0345,2/22/1961,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Ablestar,S,US,Transit 3B,Transit 3B,28.4,1961 ETA,1961 ETA,S00087,87,313/AB007,CC       LC17B,"SR2,609",1961-007A,3/30/1961,88.1,225,135,N/A
1961 Feb 25 0013:16,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Juno II,F,,NASA S-45,NASA S-45,,1961-F01,1961-F01,F00143,143,AM-19F,CC       LC26B,ABMA Memo,1961-015AD,,,,,
1961 Jan 31 2021:19,1/31/1961,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena A,S,US,Samos 2 F-1,SAMOS F-1,97.2,1961 ALP 1,1961 ALP,S00070,70,70D,PA       LC1-1,VCR,1961-001A,10/21/1973,88.1,185,175,N/A
1961 Jul  7 2329:48,7/7/1961,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,US,Discoverer 26,CORONA C'-6,82.9,1961 PI,1961 PI,S00160,160,308/FTV 1109,V        75-3-5,HSRP-104,1961-016A,12/5/1961,89,267,182,N/A
1961 Jul 12 1025:06,7/12/1961,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta,S,US,Tiros 3,NASA A-3,47.9,1961 RHO 1,1961 RHO,S00162,162,286/D5,CC       LC17A,TR-1022,1961-017A,,99.7,777,714,0.8311
1961 Jul 12 1511:46,7/12/1961,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,S,US,Midas 3,Midas ETS-II F1,91.2,1961 SIG 1,1961 SIG,S00163,163,97D,PA       LC1-2,WS117L-571,1961-018A,,161.5,3543,3345,9.6547
1961 Jul 21 2235:00,,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,F,,Discoverer 27,ARGON 4,,1961-F07,1961-F07,F00160,160,322/FTV 1110,V        75-3-4,VCR,1961-016A,,,,,
1961 Jun  8 2116,,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,F,,Discoverer 24,ARGON 3,,1961-F05,1961-F05,F00154,154,302/FTV 1108,V        75-3-4,VCR,1961-015AQ,,,,,
1961 Jun 16 2302:52,6/16/1961,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,US,Discoverer 25,CORONA C'-5,82.1,1961 XI 1,1961 XI,S00108,108,303/FTV 1107,V        75-1-1,VCR,1961-014A,7/12/1961,88.2,187,187,N/A
1961 Jun 29 0423,6/29/1961,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Ablestar,S,US,Transit 4A,Transit 4A,66.8,1961 OMI 1,1961 OMI,S00116,116,315/AB008,CC       LC17B,NROC-HIST,1961-015A,,103.5,983,863,0.7466
1961 Jun 30 1709,,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Scout X-1,F,,NASA S-55,NASA S-55,,1961-F06,1961-F06,F00158,158,ST-5,WI       LA3,Gatland1,1961-015AU,,,,,
1961 Mar  9 0629:00,3/9/1961,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72K,S,CIS,Korabl'-Sputnik-4,Vostok-3 No. 1,64.9,1961 THE 1,1961 THE,S00091,91,E103-14,NIIP-5   LC1,NezavB,1961-008A,3/9/1961,87.8,213,121,N/A
1961 Mar 25 0554:00,3/25/1961,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72K,S,CIS,Korabl'-Sputnik-5,Vostok-3 No. 2,65,1961 IOT 1,1961 IOT,S00095,95,E103-15,NIIP-5   LC1,NezavB,1961-009A,3/25/1961,88,176,176,N/A
1961 Mar 25 1517:04,3/25/1961,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta,S,US,Explorer 10,P-14,33.9,1961 KAP,1961 KAP,S00098,98,295/D4,CC       LC17A,TR-1022,1961-010A,6/30/1961,3678,145000,100,N/A
1961 Mar 30 2034:43,,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,F,,Discoverer 22,CORONA C'-4,,1961-F02,1961-F02,F00145,145,300/FTV 1105,V        75-3-4,VCR,1961-015AF,,,,,
1961 May 24 1948:05,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Juno II,F,,NASA S-45A,NASA S-45A,,1961-F04,1961-F04,F00152,152,AM-19G,CC       LC26B,ABMA,1961-015AN,,,,,
1961 Nov  1 1532,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Blue Scout II,F,,Mercury MS-1,Mercury MS-1,,1961-F12,1961-F12,F00176,176,D-8,CC       LC18B,KHR-1,1961-015BA,,,,,
1961 Nov  5 2000:30,11/5/1961,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,US,Discoverer 34,CORONA C'-9,82.5,1961 A EPS 1,1961 A EPS,S00197,197,330/FTV 1117,V        75-1-1,VCR,1961-029A,12/7/1962,89,246,204,N/A
1961 Nov 15 2122:46,11/15/1961,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,US,Discoverer 35,CORONA C'-10,81.6,1961 A ZET 1,1961 A ZET,S00201,201,326/FTV 1118,V        75-3-4,VCR,1961-030A,12/3/1961,88.8,216,216,N/A
1961 Nov 15 2226,11/15/1961,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Ablestar,S,US,Transit 4B,Transit 4B,32.4,1961 A ETA 1,1961 A ETA,S00202,202,305/AB009?,CC       LC17B,OneontaStar611116,1961-031A,,105.6,1098,948,2.1011
1961 Nov 18 0812:21,11/18/1961,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas Agena B,S,US,Ranger 2,NASA P-33,33.3,1961 A THE,1961 A THE,S00206,206,117D (AA2),CC       LC12,WS117L-571,1961-032A,11/20/1961,87.7,169,149,N/A
1961 Nov 22 2045:47,,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,F,,Samos 4,Samos 4 (E-5),,1961-F13,1961-F13,F00178,178,108D,PA       LC1-1,VCR,1961-015BC,,,,,
1961 Nov 29 1507:57,11/29/1961,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas D,S,US,Mercury MA-5,Mercury SC9,32.6,1961 A IOT 1,1961 A IOT,S00208,208,93D,CC       LC14,SP-39,1961-033A,11/29/1961,88.3,237,158,N/A
1961 Oct 13 1922,10/13/1961,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,US,Discoverer 32,CORONA C'''-4,81.6,1961 A GAM 1,1961 A GAM,S00189,189,328/FTV 1115,V        75-3-4,VCR,1961-027A,11/13/1961,88.9,232,204,N/A
1961 Oct 19 1738,6/29/1961,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Scout X-1,S,US,P-21,ST-7,67.2,1961-U03,1961-U03,A00138,138,ST-7,WI       LA3,WDCRF,1961-015Y,,102.8,911,871,0.1036
1961 Oct 21 1353:03,10/21/1961,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,S,US,Midas 4,Midas ETS-II F2,95.9,1961 A DEL 1,1961 A DEL,S00192,192,105D,PA       LC1-2,VCR,1961-028A,,165.9,3766,3484,9.418
1961 Oct 23 1923,,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,F,,Discoverer 33,CORONA C'-8,,1961-F10,1961-F10,F00170,170,329/FTV 1116,V        75-3-5,VCR,1961-020A,,,,,
1961 Oct 27 1630,,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 63S1,F,,Kosmos,DS-1 No. 1,,1961-F11,1961-F11,F00174,174,1LK,GTsP-4   Mayak-2,AVMDS,1961-021B,,,,,
1961 Sep  9 1928:27,,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,F,,Samos 3,SAMOS E-2,,1961-F09,1961-F09,F00168,168,106D,PA       LC1-1,WS117L-571,1961-019A,,,,,
1961 Sep 12 1959,9/12/1961,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,US,Discoverer 30,CORONA C'''-2,82.6,1961 OME 1,1961 OME,S00182,182,310/FTV 1113,V        75-3-5,VCR,1961-024A,12/11/1961,89.2,281,190,N/A
1961 Sep 13 1404,9/13/1961,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas D,S,US,Mercury MA-4,Mercury SC8A,32.5,1961 A ALP 1,1961 A ALP,S00183,183,88D,CC       LC14,KHR-1,1961-025A,9/13/1961,88.4,241,149,N/A
1961 Sep 17 2100,9/17/1961,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,US,Discoverer 31,CORONA C'''-3,82.7,1961 A BET,1961 A BET,S00186,186,324/FTV 1114,V        75-1-1,VCR,1961-026A,10/26/1961,89.6,304,209,N/A
1962 Apr  6 1715,4/6/1962,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Kosmos 63S1,S,CIS,Kosmos-2,1MS No. 1,48.9,1962 IOT 1,1962 IOT,S00269,269,5LK,GTsP-4   Mayak-2,NK9707-75,1962-009A,8/23/1963,88.4,231,157,N/A
1962 Apr  9 1504:48,4/9/1962,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,S,US,Midas 5,Midas ETS-II F3,86.7,1962 KAP 1,1962 KAP,S00271,271,110D,PA       LC1-2,VCR,1962-010A,,153,3407,2787,8.7661
1962 Apr 18 0053:47,4/18/1962,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,US,Discoverer 39,CORONA M-2,73.6,1962 LAM 1,1962 LAM,S00276,276,331/FTV 1124,V        75-3-5,VCR,1962-011A,5/28/1962,88.1,181,180,N/A
1962 Apr 23 2050,4/23/1962,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas Agena B,S,US,Ranger 4,Ranger 4,,1962 MU 1,1962 MU,S00280,280,133D (AA4),CC       LC12,KHR-1,1962-012A,4/26/1962,,,,N/A    MO2
1962 Apr 24 0400,4/24/1962,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 63S1,S,CIS,Kosmos-3,2MS No. 1,49,1962 NU 1,1962 NU,S00281,281,4LK,GTsP-4   Mayak-2,NK9709-63,1962-013A,10/17/1962,89,253,193,N/A
1962 Apr 26 1002,4/26/1962,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72K,S,CIS,Kosmos-4,Zenit-2 No. 2,65,1962 XI 1,1962 XI,S00287,287,E103-20,NIIP-5   LC1,NK96-10-65,1962-014A,4/29/1962,90.6,205,185,N/A
1962 Apr 26 1049,,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Scout X-2,F,,SR 4B,GRAB SV5,,1962-F03,1962-F03,F00198,198,S111,PA       LC-D,NROC-HIST,1961-029B,,,,,
1962 Apr 26 1800:16,4/26/1962,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta,S,UK,Ariel 1,UK 1,53.8,1962 OMI 1,1962 OMI,S00285,285,320/D9,CC       LC17A,TR-1022,1962-015A,5/24/1976,88.3,191,185,N/A
1962 Apr 26 1856:08,4/26/1962,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,S,US,FTV 2401,AFP-201 PVP 851,,1962 PI,1962 PI,S00286,286,118D,PA       LC1-1,VCR,1962-016A,4/28/1962,,,,N/A    NIE
1962 Apr 29 0030:12,4/28/1962,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,US,FTV 1125,CORONA M-3,73.1,1962 RHO 1,1962 RHO,S00290,290,333/FTV 1125,V        75-3-4,VCR,1962-017A,5/26/1962,89.9,361,174,N/A
1962 Aug  2 0017,8/2/1962,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena D,S,US,FTV 1152,CORONA M-10,82.3,1962 A KAP 1,1962 A KAP,S00360,360,344/FTV 1152,V        75-1-1,VCR,1962-034A,8/26/1962,88.6,215,194,N/A
1962 Aug  5 1758:59,8/5/1962,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,S,US,FTV 2404,AFP-201 PVP 854,96.3,1962 A LAM,1962 A LAM,S00361,361,124D,PA       LC1-1,VCR,1962-035A,8/6/1962,88.6,203,203,N/A
1962 Aug 11 0830,8/11/1962,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72K,S,CIS,Vostok-3,Vostok-3A No. 5,65,1962 A MU 1,1962 A MU,S00363,363,E103-23,NIIP-5   LC1,VSA074,1962-036A,8/15/1962,88.1,200,158,N/A
1962 Aug 12 0802:17,8/12/1962,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8K72K,S,CIS,Vostok-4,Vostok-3A No. 6,65,1962 A NU 1,1962 A NU,S00365,365,E103-22,NIIP-5   LC1,VSA074,1962-037A,8/15/1962,88.2,210,163,N/A
1962 Aug 18 1500,8/18/1962,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 63S1,S,CIS,Kosmos-8,DS-K-8 No. 1,48.9,1962 A XI 1,1962 A XI,S00367,367,-,GTsP-4   Mayak-2,AVMDS,1962-038A,8/17/1963,88,188,167,N/A
1962 Aug 23 1144?,8/23/1962,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Scout X-2M,S,US,FTV 3502,P35-2,98.5,1962 A OMI 1,1962 A OMI,S00369,369,S117,PA       LC-D,RAE,1962-039A,,97.1,687,556,0.3419
1962 Aug 25 0218:45,,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78,F,,[AMS Venera],2MV-1 No. 1,,1962 A PI 1,1962 A PI,S00371,371,T103-12,NIIP-5   LC1,NK9701-29,1962-040A,,,,,
1962 Aug 27 0653:14,8/27/1962,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas Agena B,S,US,Mariner 2,Mariner R-2,,1962 A RHO 1,1962 A RHO,S00374,374,179D (AA6),CC       LC12,KHR-1,1962-041A,,,,,0.0005  SU0
1962 Aug 29 0100:36,8/29/1962,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena D,S,US,FTV 1153,CORONA M-11,65.2,1962 A SIG,1962 A SIG,S00377,377,349/FTV 1153,V        75-1-2,SAMOS,1962-042A,9/10/1962,87.9,174,167,N/A
1962 Aug 31 1625,6/29/1961,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Scout X-3A,S,US,R-2,Reentry 2,66.8,1962-U03,1962-U03,A00254,254,S114,WI       LA3,TN-D-1818,1961-015CF,,100,814,699,0.0617
1962 Dec  4 2130:35,12/4/1962,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena D,S,US,FTV 1155,CORONA M-16,65.2,1962 B SIG,1962 B SIG,S00490,490,361/FTV 1155,V        75-1-2,SAMOS,1962-066A,12/8/1962,88.4,262,124,N/A
1962 Dec 13 0407,12/13/1962,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena D,S,US,NRL PL120,POPPY 1 SV1,70.2,1962 B TAU 1,1962 B TAU,S00502,502,365/FTV 2351,V        75-1-1,VCR,1962-067A,2/9/1967,88.9,270,171,N/A
1962 Dec 13 2330:01,12/13/1962,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta B,S,US,Relay 1,Relay A,47.5,1962 B UPS 1,1962 B UPS,S00503,503,355/D15,CC       LC17A,TR-1022,1962-068A,,185.1,7439,1319,0.9362
1962 Dec 14 2126:07,12/14/1962,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena D,S,US,FTV 1156,CORONA M-17,71,1962 B PHI,1962 B PHI,S00505,505,368/FTV 1156,V        75-3-5,VCR,1962-069A,1/8/1963,89,274,177,N/A
1962 Dec 16 1433:04,12/16/1962,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Scout X-3,S,US,Explorer 16,NASA S-55B,52,1962 B CHI,1962 B CHI,S00506,506,S115,WI       LA3,LAAFB,1962-070A,,104,1149,743,0.6437
1962 Dec 17 2036:33,,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,F,,Midas 6,Midas ETS-III F1,,1962-F09,1962-F09,F00213,213,131D,PA       LC1-2,VCR,1961-034A,,,,,
1962 Dec 19 0125:45,12/19/1962,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Scout X-3,S,US,Transit VA-1,Transit VA-1,90.6,1962 B PSI 1,1962 B PSI,S00509,509,S118,PA       LC-D,LAAFB,1962-071A,9/25/1986,88.5,203,197,2.5358
1962 Dec 22 0923,12/22/1962,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8A92,S,CIS,Kosmos-12,Zenit-2 No. 6,64.9,1962 B OME 1,1962 B OME,S00517,517,T 15000- 10,NIIP-5   LC1,"NK96-10-65,AVM",1962-072A,12/30/1962,90.4,388,200,N/A
1962 Feb  8 1243:45,2/8/1962,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta,S,US,Tiros 4,NASA A-9,48.3,1962 BET 1,1962 BET,S00226,226,317/D7,CC       LC17A,TR-1022,1962-002A,,99.6,796,685,0.8383
1962 Feb 20 1447:39,2/20/1962,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas D,S,US,Friendship Seven,Mercury SC13,32.5,1962 GAM 1,1962 GAM,S00240,240,109D,CC       LC14,KHR-1,1962-003A,2/20/1962,88.5,249,150,N/A
1962 Feb 21 1844,2/21/1962,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,US,FTV 2301,Ferret 1,81.9,1962 DEL,1962 DEL,S00242,242,332/FTV 2301,V        75-3-5,VCR,1962-004A,3/4/1962,88.4,220,169,N/A
1962 Feb 27 1939:20,2/27/1962,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,US,Discoverer 38,CORONA M-1,82.2,1962 EPS 1,1962 EPS,S00247,247,241/FTV 1123,V        75-3-4,VCR,1962-005A,3/21/1962,88.3,201,182,N/A
1962 Jan 13 2141:02,,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,F,,Discoverer 37,CORONA C'''-6,,1962-F01,1962-F01,F00187,187,327/FTV 1120,V        75-3-4,VCR,1961-024C,,,,,
1962 Jan 24 0930,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Ablestar,F,,SR 4,GRAB SV4,,1962-F02,1962-F02,F00192,192,311/AB010,CC       LC17B,FI620405-527,1961-028A,,,,,
1962 Jan 26 2030:11,1/26/1962,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas Agena B,S,US,Ranger 3,NASA P-34,,1962 ALP 1,1962 ALP,S00221,221,121D (AA3),CC       LC12,KHR-1,1962-001A,,,,,N/A    SU0
1962 Jul 10 0835:05,7/10/1962,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta,S,US,Telstar 1,Telstar 1,44.8,1962 A EPS 1,1962 A EPS,S00340,340,316/D11,CC       LC17B,TR-1022,1962-029A,,157.8,5643,943,0.5032
1962 Jul 18 2051:20,7/18/1962,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,S,US,FTV 2403,AFP-201 PVP 853,96.1,1962 A ZET 1,1962 A ZET,S00342,342,120D,PA       LC1-1,VCR,1962-030A,7/25/1962,88.2,198,175,N/A
1962 Jul 21 0056:40,7/21/1962,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Agena B,S,US,FTV 1130,CORONA M-8,70.3,1962 A ETA,1962 A ETA,S00344,344,342/FTV 1130,V        75-3-5,SAMOS,1962-031A,8/14/1962,87.6,155,155,N/A
1962 Jul 22 0921:23,,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas Agena B,F,,Mariner 1,Mariner R-1,,1962-F07,1962-F07,F00209,209,145D (AA5),CC       LC12,KHR-1,1961-033B,,,,,
1962 Jul 28 0030:09,7/28/1962,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Agena B,S,US,FTV 1131,CORONA M-9,71.1,1962 A THE,1962 A THE,S00345,345,347/FTV 1131,V        75-3-4,SAMOS,1962-032A,8/24/1962,88.3,190,188,N/A
1962 Jul 28 0918:31,7/28/1962,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8A92,S,CIS,Kosmos-7,Zenit-2 No. 4,65,1962 A IOT 1,1962 A IOT,S00346,346,T 15000- 07,NIIP-5   LC1,NK96-10-65,1962-033A,8/1/1962,90,352,201,N/A
1962 Jun  1 0938,,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Vostok 8A92,F,,[Kosmos-6],Zenit-2 No. 3,,1962-F06,1962-F06,F00206,206,E 15000- 01,NIIP-5   LC1,NK96-10-65,1961-032A,,,,,
1962 Jun  2 0031:28,6/2/1962,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,US,FTV 1127,CORONA M-5,74.3,1962 CHI 1,1962 CHI,S00304,304,335/FTV 1127,V        75-3-4,SAMOS,1962-022A,6/28/1962,88.8,243,189,N/A
1962 Jun 17 1814:18,6/17/1962,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas Agena B,S,US,FTV 2402,AFP-201 PVP 852,96.3,1962 PSI,1962 PSI,S00307,307,115D,PA       LC1-1,VCR,1962-023A,6/18/1962,88.5,199,199,N/A
1962 Jun 18 2020,6/18/1962,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,US,FTV 2312,Ferret 2,82.2,1962 OME 1,1962 OME,S00308,308,343/FTV 2312,V        75-3-5,VCR,1962-024A,10/30/1963,87.8,170,161,N/A
1962 Jun 19 1219:01,6/19/1962,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta,S,US,Tiros 5,Tiros E,58.1,1962 A ALP 1,1962 A ALP,S00309,309,321/D10,CC       LC17A,TR-1022,1962-025A,,98.9,847,563,0.8121
1962 Jun 23 0030:47,6/23/1962,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Agena B,S,US,FTV 1129,CORONA M-6,75.1,1962 A BET,1962 A BET,S00315,315,339/FTV 1129,V        75-3-4,SAMOS,1962-026A,7/7/1962,88.2,187,187,N/A
