Launch Date and Time (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Official Payload Name,Manufacturer's Payload Name,COSPAR,Launch Designator ,SATCAT ID,SATCAT ID w/o success code or leading zeros,Site,LV S/N,Ref,International Designator,Tag,Data Mismatch Investigation Results
1979 Dec 28 1300:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1148,Zenit-4MKM,1979-106A,1979-106,S11649,11649,NIIP-53  LC43/3,76047  -760,RAEX,1979-106A,,
1979 Dec 5 0900:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-1146,Taifun-1B,1979-100A,1979-100,S11632,11632,NIIP-53  LC132/2,47168-309,RAEX,1979-100A,,
1979 Dec 7 0135:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Delta 3914,S,Satcom 3,RCA-C,1979-101A,1979-101,S11635,11635,CC       LC17A,622/D150,KHR-1,1979-101A,,
1979 Feb 12 1300:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Tsiklon-3,S,Kosmos-1076,Okean-E NKh No. 1,1979-011A,1979-011,S11266,11266,NIIP-53  LC32/2,-,NK9422-49,1979-011A,,
1979 Feb 13 2141:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Vostok 8A92M,S,Kosmos-1077,Tselina-D,1979-012A,1979-012,S11268,11268,NIIP-53  LC43/4,76038  -312,RAEX,1979-012A,,
1979 Feb 16 0000:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,F,[Kosmos],Zenit-2M No. 131,1979-F01,1979-F01,F00814,814,NIIP-53  LC41/1,77025  -131,AVMNLJ,1964-032A,,
1979 Feb 18 1618:00,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Scout D-1,S,SAGE,AEM-B,1979-013A,1979-013,S11270,11270,WI       LA3A,S202C,SP-4024,1979-013A,,
1979 Feb 21 0500:00,KSCUT,"Uchinoura Space Center, Japan",31.2,131.1,Mu-3C,S,Hakucho,CORSA-b,1979-014A,1979-014,S11272,11272,KASC     M,M-3C-4,ISAS-Doc464,1979-014A,,
1979 Feb 21 0749:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/DM,S,Ekran,Ekran No. 16L,1979-015A,1979-015,S11273,11273,NIIP-5   LC200/40,294-01,NK9810-25,1979-015A,,
1979 Feb 22 1210:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Soyuz-U,S,Kosmos-1078,Zenit-4MKM,1979-016A,1979-016,S11276,11276,NIIP-53  LC41/1,77025  -732,RAEX,1979-016A,,
