Launch Date and Time (UTC),Launch Site (Abbrv.),Launch Site (Full),Latitude,Longitude,Launch Vehicle,Success,Official Payload Name,Manufacturer's Payload Name,COSPAR,Launch Designator ,SATCAT ID,SATCAT ID w/o success code or leading zeros,Site,LV S/N,Ref,International Designator,Tag,Data Mismatch Investigation Results
1968 Dec 19 2355:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,Kosmos-261,DS-U2-GK No. 1,1968-117A,1968-117,S03624,3624,NIIP-53  LC133/3,-,AVMDS,1968-117A,,
1968 Dec 21 1251:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Saturn V,S,Apollo 8,Apollo CM-103,1968-118A,1968-118,S03626,3626,KSC      LC39A,SA-503,Wire,1968-118A,Moon,
1968 Dec 26 0945:02,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 11K63,S,Kosmos-262,DS-U2-GF No. 1,1968-119A,1968-119,S03629,3629,GTsP-4   LC86/4,-,AVMDS,1968-119A,,
1968 Dec 3 1452:21,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,Kosmos-257,DS-P1-Yu No. 17,1968-107A,1968-107,S03578,3578,NIIP-53  LC133/3,-,AVMDS,1968-107A,,
1968 Dec 4 1923:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan IIIB,S,OPS 6518,GAMBIT-3 Mission 4318,1968-108A,1968-108,S03594,3594,V        SLC4W,3B-20,LR681205,1968-108A,,
1968 Dec 5 1855:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta E1,S,HEOS 1,HEOS A1,1968-109A,1968-109,S03595,3595,CC       LC17B,481/D61,TR-1022,1968-109A,,
1968 Dec 7 0840:09,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas SLV-3C Centaur,S,OAO 2,OAO A2,1968-110A,1968-110,S03597,3597,CC       LC36B,AC-16,TR-1022,1968-110A,,
1968 Feb 20 1003:11,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 11K63,S,Kosmos-202,DS-U2-V No. 4,1968-010A,1968-010,S03128,3128,GTsP-4   LC86/4,-,AVMDS,1968-010A,,
1968 Feb 20 1600:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-203,Sfera,1968-011A,1968-011,S03129,3129,NIIP-53  LC132/2,-,RAEX,1968-011A,,
1968 Feb 6 0800:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-201,Zenit-4 No. 40,1968-009A,1968-009,S03118,3118,NIIP-5   LC31,N 15002- 14,RAEX,1968-009A,,
1968 Feb 7 1043:54,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78M,F,[Luna],E-6LS No. 112,1968-F01,1968-F01,F00457,457,NIIP-5   LC1,Ya15000- 57  L5,NK9701-29,1962-057C,Moon,
1968 Jan 11 1616:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Delta E1,S,Geos 2,Geos B,1968-002A,1968-002,S03093,3093,V        SLC2E,454/D56,TR-1022,1968-002A,,
1968 Jan 16 1200:01,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-199,Zenit-2 No. 59,1968-003C,1968-003,S03115,3115,NIIP-53  LC41/1,-,NK96-10-65,1968-003C,,
1968 Jan 17 1012:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor SLV-2A Agena D,S,OPS 1965,Ferret 12,1968-004A,1968-004,S03097,3097,V        SLC2W,498/FTV 2733,LR680117,1968-004A,,
1968 Jan 18 1904:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan IIIB,S,OPS 5028,GAMBIT-3 Mission 4311,1968-005A,1968-005,S03098,3098,V        SLC4W,3B-13,LR680118,1968-005A,,
1968 Jan 19 2159:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-200,Tselina-O,1968-006A,1968-006,S03100,3100,NIIP-53  LC132/2,-,RAEX,1968-006A,,
1968 Jan 22 2248:08,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Saturn IB,S,LM 1 Ascent Stage,Apollo 5,1968-007A,1968-007,S03106,3106,CC       LC37B,SA-204,SP-4205,1968-007A,Moon,
1968 Jan 24 2226:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2G Agena D,S,OPS 2243,CORONA J-45,1968-008A,1968-008,S03113,3113,V        SLC1E,516/FTV 1640,PER,1968-008A,,
1968 Jan 7 0630:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas SLV-3C Centaur,S,Surveyor 7,Surveyor SC-7,1968-001A,1968-001,S03091,3091,CC       LC36A,AC-15,TR-1022,1968-001A,Moon,
1968 Jul 10 1949:58,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-231,Zenit-2 No. 64,1968-058A,1968-058,S03316,3316,NIIP-5   LC31,V 15001- 03,NK96-10-65,1968-058A,,
1968 Jul 11 1930:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Atlas F,S,OV1-15,OV1-15S,1968-059A,1968-059,S03318,3318,V        ABRESA2,75F,LongBeachInd660712,1968-059A,,
1968 Jul 16 1310:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-232,Zenit-4 No. 47,1968-060A,1968-060,S03322,3322,NIIP-53  LC41/1,V 15001- 14,RAEX,1968-060A,,
1968 Jul 18 1959:50,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,Kosmos-233,DS-P1-Yu No. 15,1968-061A,1968-061,S03326,3326,NIIP-53  LC133/3,-,AVMDS,1968-061A,,
1968 Jul 30 0700:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-234,Zenit-4 No. 42,1968-062A,1968-062,S03332,3332,NIIP-5   LC31,Ya15002- 16,RAEX,1968-062A,,
1968 Jul 4 1726:50,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Delta J,S,RAE 1,RAE A,1968-055A,1968-055,S03307,3307,V        SLC2E,476/D57,MOR S-877-68-01,1968-055A,,
1968 Jul 5 0659:50,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 11K63,S,Kosmos-230,DS-U3-S No. 2,1968-056A,1968-056,S03308,3308,GTsP-4   LC86/4,-,AVMDS,1968-056A,,
1968 Jul 5 1525:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78M,S,Molniya-1 (9),Molniya-1 11F67 No. 13,1968-057A,1968-057,S03310,3310,NIIP-5   LC1,#REF!,RAEX,1968-057A,,
1968 Jun 1 1050:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-223,Zenit-2 No. 63,1968-045A,1968-045,S03274,3274,NIIP-53  LC41/1,V 15001- 02,NK96-10-65,1968-045A,,
1968 Jun 11 2129:54,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 11K63,S,Kosmos-225,DS-U1-Ya No. 2,1968-048A,1968-048,S03279,3279,GTsP-4   LC86/4,-,AVMDS,1968-048A,,
1968 Jun 12 1314:59,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Vostok 8A92M,S,Kosmos-226,Meteor No. 10,1968-049A,1968-049,S03282,3282,NIIP-53  LC41/1,N 15000- 58,PL-WWW,1968-049A,,
1968 Jun 13 1403:50,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Titan IIIC,S,OPS 9341,IDCSP 20,1968-050A,1968-050,S03284,3284,CC       LC41,3C-16,AFT3,1968-050A,,
1968 Jun 15 0000:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Kosmos 11K65,F,Kosmos,Strela-2 No. 3,1968-F06,1968-F06,F00474,474,NIIP-5   LC41/15,4000-000-11LL,AVMNLJ,1961-015FL,,
1968 Jun 18 0615:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-227,Zenit-4 No. 44,1968-051A,1968-051,S03294,3294,NIIP-5   LC31,V 15001 -11,RAEX,1968-051A,,
1968 Jun 20 2146:05,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2G Agena D,S,OPS 5343,CORONA J-47,1968-052A,1968-052,S03296,3296,V        SLC1E,517/FTV 1645,PH,1968-052A,,
1968 Jun 21 1200:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-228,Zenit-2M,1968-053A,1968-053,S03298,3298,NIIP-5   LC1,Ya15001- 12,RAEX,1968-053A,,
1968 Jun 26 1100:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-229,Zenit-4 No. 41,1968-054A,1968-054,S03304,3304,NIIP-53  LC41/1,Ya15002- 15,RAEX,1968-054A,,
1968 Jun 4 0000:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,F,Kosmos,Sfera No. 12L,1968-F05,1968-F05,F00472,472,NIIP-53  LC132/2,-,AVMNLJ,1961-015FJ,,
1968 Jun 4 0645:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-224,Zenit-4 No. 46,1968-046A,1968-046,S03276,3276,NIIP-5   LC31,V 15001- 13,RAEX,1968-046A,,
1968 Jun 5 1733:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan IIIB,S,OPS 5138,GAMBIT-3 Mission 4314,1968-047A,1968-047,S03278,3278,V        SLC4W,3B-16,GAMHEX-G2,1968-047A,,
1968 Mar 13 1951:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan IIIB,S,OPS 5057,GAMBIT-3 Mission 4312,1968-018A,1968-018,S03148,3148,V        SLC4W,3B-14,GAMHEX-G2,1968-018A,,
1968 Mar 14 0934:01,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Vostok 8A92M,S,Kosmos-206,Meteor 11F614 No. 9,1968-019A,1968-019,S03150,3150,NIIP-53  LC41/1,G 15000- 03,PL-WWW,1968-019A,,
1968 Mar 14 2200:14,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2G Agena D,S,OPS 4849,CORONA J-48,1968-020A,1968-020,S03152,3152,V        SLC1E,518/FTV 1638,PER,1968-020A,,
1968 Mar 16 1230:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-207,Zenit-4 No. 38,1968-021A,1968-021,S03154,3154,NIIP-53  LC41/1,Ya15002- 12,RAEX,1968-021A,,
1968 Mar 2 0355:01,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Scout A,S,NNS O-18,NNS O-18,1968-012A,1968-012,S03133,3133,V        SLC5,S162C,LAAFB,1968-012A,,
1968 Mar 2 1829:23,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/D,S,Zond-4,L-1 No. 6L,1968-013A,1968-013,S03134,3134,NIIP-5   LC81/23,231-01,NK9810-25,1968-013A,,
1968 Mar 21 0950:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-208,Zenit-2M,1968-022A,1968-022,S03156,3156,NIIP-5   LC1,R 15000- 10,TLE,1968-022A,,
1968 Mar 22 0930:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Tsiklon-2A,S,Kosmos-209,US-A reactor,1968-023A,1968-023,S03158,3158,NIIP-5   LC90/19,N 22500-08L,RAEX,1968-023A,,
1968 Mar 4 1306:01,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas SLV-3A Agena D,S,OGO 5,OGO E,1968-014A,1968-014,S03138,3138,CC       LC13,5602A (AA26),TR-1022,1968-014A,,
1968 Mar 5 1120:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,Kosmos-204,DS-P1-I No. 3,1968-015A,1968-015,S03139,3139,NIIP-53  LC133/3,-,TLE,1968-015A,,
1968 Mar 5 1230:01,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-205,Zenit-2 No. 56,1968-016A,1968-016,S03140,3140,NIIP-53  LC41/1,Ya15002- 02,NK96-10-65,1968-016A,,
1968 Mar 5 1828:00,ERAS,"Wallops Flight Facility, USA",37.8,-75.5,Scout B,S,SR 9,Solar Explorer B,1968-017A,1968-017,S03141,3141,WI       LA3A,S160C,LAAFB,1968-017A,,
1968 Mar 6 1102:57,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 11K63,F,Kosmos,DS-U1-Ya No. 1,1968-F02,1968-F02,F00461,461,GTsP-4   LC86/4,-,AVMDS,1961-015EX,,
1968 May 1 2131:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2G Agena D,S,OPS 1419,CORONA CR-3,1968-039B,1968-039,S03232,3232,V        SLC3W,511/FTV 1643,PER,1968-039B,,
1968 May 17 0206:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Scout B,S,ESRO 2B,ESRO 2B,1968-041A,1968-041,S03233,3233,V        SLC5,S161C,VCR,1968-041A,,
1968 May 18 0823:00,AFWTR,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2G Agena D,F,Nimbus B,Nimbus B,1968-F04,1968-F04,F00469,469,V        SLC2E,520/FTV 6221 (T,JG9602,1961-015FF,,
1968 May 20 2205:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,R-36O 8K69,S,OGCh,OGCh No. 18?,1968-U01,1968-U01,A01374,1374,NIIP-5   LC162/36,Ya22500 No. 18L,BML,1965-037A,,
1968 May 23 0438:12,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Burner 2,S,OPS 7869,DAPP 5420,1968-042A,1968-042,S03266,3266,V        SLC10W,277/BII-6,SAC7383,1968-042A,,
1968 May 24 0704:50,KYMSC,"Kapustin Yar Missile and Space Complex, Russia",48.4,45.8,Kosmos 11K63,S,Kosmos-221,DS-P1-Yu No. 14,1968-043A,1968-043,S03269,3269,GTsP-4   LC86/4,-,AVMDS,1968-043A,,
1968 May 27 2315:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,R-36O 8K69,S,OGCh,OGCh No. 19?,1968-U02,1968-U02,A01378,1378,NIIP-5   LC161/35,Ya22501 No. 19L,BML,1965-038B,,
1968 May 30 2029:49,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,Kosmos-222,DS-P1-Yu No. 12,1968-044A,1968-044,S03272,3272,NIIP-53  LC133/3,-,AVMDS,1968-044A,,
1968 May 7 1358:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-220,Tsiklon,1968-040A,1968-040,S03229,3229,NIIP-53  LC132/2,-,RAEX,1968-040A,,
1968 Nov 1 0027:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Tsiklon-2A,S,Kosmos-252,I2P,1968-097A,1968-097,S03530,3530,NIIP-5   LC90/20,N 22500-09L,RAEX,1968-097A,,
1968 Nov 10 1911:31,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/D,S,Zond-6,L-1 No. 12L,1968-101A,1968-101,S03535,3535,NIIP-5   LC81/23,235-01,NK9810-25,1968-101A,Moon,
1968 Nov 13 1200:01,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-253,Zenit-2 No. 67,1968-102A,1968-102,S03542,3542,NIIP-53  LC41/1,V 15001-006,NK96-10-65,1968-102A,,
1968 Nov 16 1140:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K,S,Proton-4,N-6 No. 1,1968-103A,1968-103,S03544,3544,NIIP-5   LC81/24,236-01,NK9810-25,1968-103A,,
1968 Nov 21 1210:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-254,Zenit-4 No. 50,1968-104A,1968-104,S03562,3562,NIIP-53  LC41/1,V 15001-017,RAEX,1968-104A,,
1968 Nov 29 1240:34,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-255,Zenit-2 No. 68,1968-105A,1968-105,S03574,3574,NIIP-53  LC41/1,V 15001-007,NK96-10-65,1968-105A,,
1968 Nov 29 2312:02,WOMRA,"Woomera Test Range, Australia",-31.1,136.8,Europa I,F,STV 1,STV 1,1968-F09,1968-F09,F00501,501,WOO      LA6A,F-7,Henderson,1962-057Y,,
1968 Nov 3 2130:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2G Agena D,S,OPS 1315,CORONA CR-5,1968-098A,1968-098,S03531,3531,V        SLC3W,515/FTV 1646,LR681104,1968-098A,,
1968 Nov 30 1200:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-256,Sfera,1968-106A,1968-106,S03576,3576,NIIP-53  LC132/2,-,RAEX,1968-106A,,
1968 Nov 6 1910:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan IIIB,S,OPS 5296,GAMBIT-3 Mission 4317,1968-099A,1968-099,S03532,3532,V        SLC4W,3B-19,LR681107,1968-099A,,
1968 Nov 8 0946:29,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta E1,S,Pioneer 9,Pioneer D,1968-100A,1968-100,S03533,3533,CC       LC17B,479/D60,TR-1022,1968-100A,,
1968 Oct 11 1205:01,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-247,Zenit-2 No. 65,1968-088A,1968-088,S03484,3484,NIIP-53  LC41/1,V 15001- 04,NK96-10-65,1968-088A,,
1968 Oct 11 1502:45,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Saturn IB,S,Apollo 7,Apollo CM-101,1968-089A,1968-089,S03486,3486,CC       LC34,SA-205,SP-4205,1968-089A,Moon,
1968 Oct 19 0420:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Tsiklon-2A,S,Kosmos-248,I2M,1968-090A,1968-090,S03503,3503,NIIP-5   LC90/19,N 22500-06L,RAEX,1968-090A,,
1968 Oct 2 1335:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,R-36O 8K69,S,Kosmos-244,OGCh No. 20?,1968-082A,1968-082,S03449,3449,NIIP-5   LC161/35,V 22500-10T,Kosmodrom9904,1968-082A,,
1968 Oct 20 0402:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Tsiklon-2A,S,Kosmos-249,I2P,1968-091A,1968-091,S03504,3504,NIIP-5   LC90/20,N 22500-05L,RAEX,1968-091A,,
1968 Oct 23 0434:03,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thor Burner 2,S,OPS 4078,DAPP 6422,1968-092A,1968-092,S03510,3510,V        SLC10W,173/BII-8,SAC7383,1968-092A,,
1968 Oct 25 0900:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz 11A511,S,Soyuz-2,Soyuz No. 11,1968-093A,1968-093,S03511,3511,NIIP-5   LC1,Ya15000-008,NK0204-71,1968-093A,,
1968 Oct 26 0834:18,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Soyuz 11A511,S,Soyuz-3,Soyuz No. 10,1968-094A,1968-094,S03516,3516,NIIP-5   LC31,Ya15000-010,NK0204-71,1968-094A,,
1968 Oct 3 1258:59,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,Kosmos-245,DS-P1-Yu No. 16,1968-083A,1968-083,S03457,3457,NIIP-53  LC133/3,-,AVMDS,1968-083A,,
1968 Oct 3 2049:39,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Scout B,S,Aurorae,ESRO 1A,1968-084A,1968-084,S03459,3459,V        SLC5,S167C,VCR,1968-084A,,
1968 Oct 30 2200:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-250,Tselina-O,1968-095A,1968-095,S03526,3526,NIIP-53  LC132/2,-,RAEX,1968-095A,,
1968 Oct 31 0914:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-251,Zenit-4M,1968-096,1968-096,A01459,1459,NIIP-5   LC1,N 15001-010,RAEX,1965-058B,,
1968 Oct 5 0032:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78M,S,Molniya-1,Molniya-1 11F67 No. 14,1968-085A,1968-085,S03469,3469,NIIP-5   LC1,V 15000- 86? L8,RAEX,1968-085A,,
1968 Oct 5 1116:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2G Agena D,S,OPS 0964,Ferret 13,1968-086A,1968-086,S03472,3472,V        SLC1W,521/FTV 2734?,RAE,1968-086A,,
1968 Oct 7 1205:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-246,Zenit-4 No. 51,1968-087A,1968-087,S03473,3473,NIIP-53  LC41/1,V 15002- 11,RAEX,1968-087A,,
1968 Sep 10 1830:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan IIIB,S,OPS 5247,GAMBIT-3 Mission 4316,1968-074A,1968-074,S03375,3375,V        SLC4W,3B-18,LR680910,1968-074A,,
1968 Sep 14 0650:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-240,Zenit-2 No. 66,1968-075A,1968-075,S03388,3388,NIIP-5   LC31,V 15001- 05,NK96-10-65,1968-075A,Moon,
1968 Sep 14 2142:11,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/D,S,Zond-5,L-1 No. 9L,1968-076A,1968-076,S03394,3394,NIIP-5   LC81/23,234-01,NK9810-25,1968-076A,,
1968 Sep 16 1230:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-241,Zenit-4 No. 49,1968-077A,1968-077,S03398,3398,NIIP-53  LC41/1,V 15001- 16,RAEX,1968-077A,,
1968 Sep 18 2132:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2G Agena D,S,OPS 0165,CORONA J-49,1968-078A,1968-078,S03408,3408,V        SLC1E,524/FTV 1647,PER,1968-078A,,
1968 Sep 19 0009:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Thor Delta M,F,INTELSAT III F-1,INTELSAT III F-1,1968-F08,1968-F08,F00498,498,CC       LC17A,529/D59,TR-1022,1962-057V,,
1968 Sep 20 1439:59,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,Kosmos-242,DS-P1-I No. 4,1968-079A,1968-079,S03414,3414,NIIP-53  LC133/3,-,AVMDS,1968-079A,,
1968 Sep 23 0739:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-243,Zenit-2M,1968-080A,1968-080,S03418,3418,NIIP-5   LC1,R 15000- 08,RAEX,1968-080A,,
1968 Sep 26 0737:01,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Titan IIIC,S,OV2-5,OV2-5,1968-081A,1968-081,S03428,3428,CC       LC41,3C-5,AFT3,1968-081A,,
1968 Sep 5 0700:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-239,Zenit-4 No. 48,1968-073A,1968-073,S03353,3353,NIIP-5   LC31,V 15000- 15,RAEX,1968-073A,,
1969 Apr 11 0230:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Molniya 8K78M,S,Molniya-1,Molniya-1 11F67 No. 16,1969-035A,1969-035,S03885,3885,NIIP-5   LC1,V 15000-088  L8,RAEX,1969-035A,,
1969 Apr 13 0230:00,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas SLV-3A Agena D,S,OPS 3148,CANYON 2,1969-036A,1969-036,S03889,3889,CC       LC13,5502A,AP,1969-036A,,
1969 Apr 14 0754:03,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Thorad SLV-2G Agena D,S,Nimbus 3,Nimbus B2,1969-037A,1969-037,S03890,3890,V        SLC2E,543/FTV 6222 (T,LR690414,1969-037A,,
1969 Apr 15 0814:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-279,Zenit-4 No. 61,1969-038A,1969-038,S03893,3893,NIIP-5   LC31,Yu15001-013,RAEX,1969-038A,,
1969 Apr 15 1730:00,WRAS,"Vandenberg Air Force Base, USA",34.4,-120.35,Titan IIIB,S,OPS 5310,GAMBIT-3 Mission 4321,1969-039A,1969-039,S03895,3895,V        SLC4W,3B-21,LR690415,1969-039A,,
1969 Apr 2 1033:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Proton-K/D,F,[Mars-2],2M No. 522,1969-F07,1969-F07,F00536,536,NIIP-5   LC81/24,233-01,NK9810-25,1963-005D,Mars,
1969 Apr 23 0955:00,TYMSC,"Baikonur Cosmodrome, Kazakhstan",45.6,63.4,Voskhod 11A57,S,Kosmos-280,Zenit-4M,1969-040A,1969-040,S03906,3906,NIIP-5   LC1,R 15000-007,RAEX,1969-040A,,
1969 Apr 4 1020:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-276,Zenit-4 No. 55,1969-032A,1969-032,S03854,3854,NIIP-53  LC41/1,V 15002-015,RAEX,1969-032A,,
1969 Apr 4 1300:04,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K63,S,Kosmos-277,DS-P1-Yu No. 20,1969-033A,1969-033,S03855,3855,NIIP-53  LC133/3,-,AVMDS,1969-033A,,
1969 Apr 9 1300:01,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Voskhod 11A57,S,Kosmos-278,Zenit-2 No. 78,1969-034A,1969-034,S03883,3883,NIIP-53  LC41/1,V 15002-010,NK96-10-65,1969-034A,,
1969 Aug 12 1101:04,AFETR,"Kennedy Space Center, USA",28.391139,-80.588343,Atlas SLV-3C Centaur,S,ATS 5,ATS E,1969-069A,1969-069,S04068,4068,CC       LC36A,AC-18,TR-1022,1969-069A,,
1969 Aug 13 2200:00,PLMSC,"Plesetsk Missile and Space Complex, Russia",62.8,40.1,Kosmos 11K65M,S,Kosmos-292,Tsiklon,1969-070A,1969-070,S04070,4070,NIIP-53  LC132/2,-,RAEX,1969-070A,,
